Store_Name	Type	Address	City	State_province	Zip	Country_ISO3166_alpha2	Latitude	Longitude	Phone	URL	Accessibility	Public
Manson Community Library	Library	Wapato Way & Manson Blvd	Manson	Washington	98831	US	47,8852300003	-120,1596499997	[+1] 509-687-3420	http://www.ncrl.org/manson.htm	Wheelchair accessible	All Public
Davenport City Library	Library	505 7th St	Davenport	Washington	99122	US	47,6539963007	-118,1509557157	[+1] 509-725-4355	http://www.davenportwa.us/index.asp?Type=B_BASIC&SEC={EA1BEF96-CBC1-4BD4-AE0A-C1...	Wheelchair accessible	All Public
Quincy Community Library	Library	208 Central Avenue S	Quincy	Washington	98849	US	47,2362119628	-119,8532110831	[+1] 509-787-2359	http://www.ncrl.org/quincy.htm	Wheelchair accessible	All Public
Fairhaven Library	Library	1117 12th St	Bellingham	Washington	98225-6617	US	48,7214839328	-122,5021819104	[+1] 360-778-7324	http://www.bellinghampubliclibrary.org	Wheelchair accessible	All Public
Everson Public Library	Library	104 Kirsch Dr	Everson	Washington	98247	US	48,9195596097	-122,3413831316	[+1] 360-966-5100	http://www.wcls.org	None	All Public
Medical Lake Library	Library	321 E. Herb Street	Medical Lake	Washington	99022	US	47,5710930269	-117,6795266699	[+1] 509-893-8330	http://www.scld.org	Wheelchair accessible	All Public
Point Roberts Public Library	Library	1487 Gulf Road	Point Roberts	Washington	98281	US	48,984617	-123,076803	[+1] 360-945-6545	http://www.wcls.org	None	All Public
Cashmere Community Library	Library	300 Woodring St	Cashmere	Washington	98815-1061	US	47,5228675321	-120,4677715886	[+1] 509-782-3314	http://www.ncrl.org/cashmere.htm	Wheelchair accessible	All Public
Zillah Library	Library	109 7th St	Zilla	Washington	98953-0448	US	46,4012366366	-120,2597220749	[+1] 509-829-6707	http://www.yvl.org	Wheelchair accessible	All Public
Vashon Library	Library	17210 Vashon Hwy SW	Vashon	Washington	98070-4600	US	47,4507958647	-122,4604263886	[+1] 206-463-2069	http://www.kcls.org/vashon/	None	All Public
Kalama Public Library	Library	312 N 1st St 312 N 1st St	Kalama	Washington	98625	US	46,0098207336	-122,8452787204	[+1] 360-673-4568	http://www.kalamalibrary.org/	Wheelchair accessible	All Public
NewHolly Branch	Library	7058 32nd Ave. S.	Seattle	Washington	98118	US	47,5393446132	-122,2910583162	[+1] 206-386-1905	http://www.spl.org/locations/newholly-branch/nhy-computers-and-equipment	Wheelchair accessible	All Public
Lakewood Library	Library	6300 Wildaire Rd SW	Lakewood	Washington	98499-1321	US	47,1606102305	-122,5206810248	[+1] 253-548-3302	http://www.piercecountylibrary.org	Wheelchair accessible	All Public
Grandview Public Library	Library	500 W Main St	Grandview	Washington	98930	US	46,2559783883	-119,9074692815	[+1] 509-882-9217	http://www.grandview.wa.us/library.htm	Wheelchair accessible	All Public
Richard E Ostrander Summitview Library	Library	5709 Summitview Ave	Yakima	Washington	98908-3041	US	46,6000660015	-120,5847743659	[+1] 509-966-7070	http://www.yvl.org	Wheelchair accessible	All Public
Elma Timberland Library	Library	118 N 1st St	Elma	Washington	98541-0547	US	47,0046945912	-123,4014180265	[+1] 360-482-3737	http://www.trl.org/Locations/Pages/Locations.aspx	None	All Public
Montlake Branch	Library	713 Eighth Ave. S.	Seattle	Washington	98104	US	47,5965363407	-122,3225273081	[+1] 206-386-1300	http://www.spl.org/locations/montlake-branch/mon-computers-and-equipment	Wheelchair accessible	All Public
Royal City Community Library	Library	136 Camelia St	Royal City	Washington	98357	US	46,9001519391	-119,6273996572	[+1] 509-346-9281	http://www.ncrl.org/royalcity.htm	Wheelchair accessible	All Public
Sumas Public Library	Library	451 2nd St	Sumas	Washington	98295	US	48,9982560134	-122,2597396583	[+1] 360-988-2501	http://www.wcls.org	None	All Public
Dayton Memorial Library	Library	111 S. 3rd Street	Dayton	Washington	99328	US	46,3209618288	-117,9775052961	[+1] 509-382-4131	http://www.ccrld.lib.wa.us	Wheelchair accessible	All Public
Metrocenter YMCA	Human Services/Non-profit (non-residential)	909 4th Ave	Seattle	Washington	98104	US	47,6056681114	-122,3325877621	[+1] 206-839-8911	http://www.seattleymca.org/	Wheelchair accessible	All Public
Edith Bishel Center for the Blind and Visually Impaired	Human Services/Non-profit (non-residential)	628 North Arthur Street	Kennewick	Washington	99336-2128	US	46,216620271	-119,186408568	[+1] 509-735-0699	http://edithbishelcenter.org	Blind/LV	All Public
Harrah Library	Library	21 E Pioneer St	Harrah	Washington	98933	US	46,4037124078	-120,5439031133	[+1] 509-848-3458	http://www.yvl.org	Wheelchair accessible	All Public
Moses Lake Community Library	Library	418 E 5th Ave	Moses Lake	Washington	98837-1797	US	47,1305776027	-119,2723332963	[+1] 509-765-3489	http://www.ncrl.org/moseslake.htm	Wheelchair accessible	All Public
Argonne Library	Library	4322 N Argonne Rd	Spokane	Washington	99212-1868	US	47,6962478261	-117,2827866489	[+1] 509-893-8260	http://www.scld.org	Wheelchair accessible	All Public
Kirkland Library	Library	308 Kirkland Ave	Kirkland	Washington	98033-6221	US	47,6755720508	-122,2032231064	[+1] 425-822-2459	http://www.kcls.org/kirkland/	Blind/LV	All Public
Carnation Library	Library	4804 Tolt Ave	Carnation	Washington	98014	US	47,6508320637	-121,9122086727	[+1] 425-333-4398	http://www.kcls.org/carnation/	None	All Public
New Futures Arbor Heights	Housing	135 SW 116th St	Burien	Washington	98146	US	47,4686200004	-122,3403599997	[+1] 206-244-0533	http://newfutures.org/our-programs/our-sites/arbor-heights/	None	Limited Users
